patent_id,registry,patent_type,title,registration_date,publication_date,application_number,status,inventors_count,owners_count,ipc_codes,cpc_codes,url
2860200,Реестр изобретений,invention,Поверхностно-активный состав для удаления жидкости с забоя в условиях пескопроявления,2026-04-14,2026-04-14,2025100219,действует,9,1,C09K 8/584; C09K 8/52,C09K 8/584; C09K 8/52,https://www1.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&rn=197&DocNumber=2860200&TypeFile=html
2860206,Реестр изобретений,invention,СПОСОБ ПОЛУЧЕНИЯ ЗАГОТОВОК ИЗ ПРЕЦИЗИОННОГО МАРТЕНСИТНО-СТАРЕЮЩЕГО СПЛАВА 21НКМТ НА ОСНОВЕ ЖЕЛЕЗА,2026-04-14,2026-04-14,2023124081,действует,6,1,C22C 38/08; C22B 9/20; F27B 14/04,C22C 38/08; C22B 9/20; F27B 14/04,https://www1.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&rn=138&DocNumber=2860206&TypeFile=html
